Date,000001.SS,^AXJO,^BVSP,^FTSE,^GDAXI,^GSPC,^GSPTSE,^HSI,^MXX,^N225,^NSEI
2025-03-14,3419.56201171875,7789.7001953125,128957.0,8632.2998046875,22986.8203125,5638.93994140625,24553.400390625,23959.98046875,52484.28125,37053.1015625,
2025-03-17,3426.12890625,7854.10009765625,130834.0,8680.2998046875,23154.5703125,5675.1201171875,24785.099609375,24145.5703125,,37396.51953125,22508.75
2025-03-18,3429.759033203125,7860.39990234375,131475.0,8705.2001953125,23380.69921875,5614.66015625,24706.099609375,24740.5703125,52773.3203125,37845.421875,22834.30078125
2025-03-19,3426.428955078125,7828.2998046875,132508.0,8706.7001953125,23288.060546875,5675.2900390625,25069.19921875,24771.140625,53060.76171875,37751.87890625,22907.599609375
2025-03-20,3408.947998046875,7918.89990234375,131955.0,8702.0,22999.150390625,5662.89013671875,25060.19921875,24219.94921875,53100.828125,,23190.650390625
2025-03-21,3364.8310546875,7931.2001953125,132345.0,8646.7998046875,22891.6796875,5667.56005859375,24968.5,23689.720703125,52672.421875,37677.05859375,23350.400390625
2025-03-24,3370.028076171875,7936.89990234375,131321.0,8638.0,22852.66015625,5767.56982421875,25304.099609375,23905.560546875,52674.83984375,37608.48828125,23658.349609375
2025-03-25,3369.97607421875,7942.5,132068.0,8663.7998046875,23109.7890625,5776.64990234375,25339.5,23344.25,53203.26171875,37780.5390625,23668.650390625
2025-03-26,3368.697021484375,7999.0,132520.0,8689.599609375,22839.029296875,5712.2001953125,25161.099609375,23483.3203125,52806.890625,38027.2890625,23486.849609375
2025-03-27,3373.7490234375,7969.0,133149.0,8666.099609375,22678.740234375,5693.31005859375,25161.099609375,23578.80078125,53477.73828125,37799.96875,23591.94921875
2025-03-28,3351.306884765625,7982.0,131902.0,8658.900390625,22461.51953125,5580.93994140625,24759.19921875,23426.599609375,53172.96875,37120.328125,23519.349609375
2025-03-31,3335.74609375,7843.39990234375,130260.0,8582.7998046875,22163.490234375,5611.85009765625,24917.5,23119.580078125,52484.4296875,35617.55859375,
2025-04-01,3348.43505859375,7925.2001953125,131147.0,8634.7998046875,22539.98046875,5633.06982421875,25033.30078125,23206.83984375,53337.8984375,35624.48046875,23165.69921875
2025-04-02,3350.126953125,7934.5,131190.0,8608.5,22390.83984375,5670.97021484375,25307.19921875,23202.529296875,53800.9296875,35725.87109375,23332.349609375
2025-04-03,3342.008056640625,7859.7001953125,131141.0,8474.7001953125,21717.390625,5396.52001953125,24335.80078125,22849.810546875,54089.28125,34735.9296875,23250.099609375
2025-04-04,,7667.7998046875,127256.0,8055.0,20641.720703125,5074.080078125,23193.5,,51452.73046875,33780.578125,22904.44921875
2025-04-07,3096.575927734375,7343.2998046875,125588.0,7702.10009765625,19789.619140625,5062.25,22859.5,19828.30078125,50458.3203125,31136.580078125,22161.599609375
2025-04-08,3145.549072265625,7510.0,123932.0,7910.5,20280.259765625,4982.77001953125,22506.900390625,20127.6796875,50316.58984375,33012.578125,22535.849609375
2025-04-09,3186.81005859375,7375.0,127796.0,7679.5,19670.880859375,5456.89990234375,23727.0,20264.490234375,52527.671875,31714.029296875,22399.150390625
2025-04-10,3223.637939453125,7709.60009765625,126355.0,7913.2998046875,20562.73046875,5268.0498046875,23014.900390625,20681.779296875,51514.8203125,34609.0,
2025-04-11,3238.22705078125,7646.5,127682.0,7964.2001953125,20374.099609375,5363.35986328125,23587.80078125,20914.689453125,51498.8984375,33585.578125,22828.55078125
2025-04-14,3262.80810546875,7748.60009765625,129454.0,8134.2998046875,20954.830078125,5405.97021484375,23866.5,21417.400390625,52391.3515625,33982.359375,
2025-04-15,3267.662109375,7761.7001953125,129245.0,8249.099609375,21253.69921875,5396.6298828125,24067.900390625,21466.26953125,52643.0390625,34267.5390625,23328.55078125
2025-04-16,3276.00390625,7758.89990234375,128317.0,8275.599609375,21311.01953125,5275.7001953125,24106.80078125,21056.98046875,53018.5703125,33920.3984375,23437.19921875
2025-04-17,3280.341064453125,7819.10009765625,129650.0,8275.7001953125,21205.859375,5282.7001953125,24192.80078125,21395.140625,,34377.6015625,23851.650390625
2025-04-18,3276.72998046875,,,,,,,,,34730.28125,
2025-04-21,3291.43408203125,,,,,5158.2001953125,24008.900390625,,53758.75,34279.921875,24125.55078125
2025-04-22,3299.757080078125,7816.7001953125,130464.0,8328.599609375,21293.529296875,5287.759765625,24306.0,21562.3203125,54777.83984375,34220.6015625,24167.25
2025-04-23,3296.35498046875,7920.5,132216.0,8403.2001953125,21961.970703125,5375.85986328125,24472.69921875,22072.619140625,55766.578125,34868.62890625,24328.94921875
2025-04-24,3297.2880859375,7968.2001953125,134580.0,8407.400390625,22064.509765625,5484.77001953125,24727.5,21909.759765625,56382.0,35039.1484375,24246.69921875
2025-04-25,3295.06005859375,,134739.0,8415.2998046875,22242.44921875,5525.2099609375,24710.5,21980.740234375,56720.12109375,35705.73828125,24039.349609375
2025-04-28,3288.4150390625,7997.10009765625,135016.0,8417.2998046875,22271.669921875,5528.75,24798.599609375,21971.9609375,56980.12890625,35839.98828125,24328.5
2025-04-29,3286.655029296875,8070.60009765625,135093.0,8463.5,22425.830078125,5560.830078125,24874.5,22008.109375,55613.4296875,,24335.94921875
2025-04-30,3279.031005859375,8126.2001953125,135067.0,8494.900390625,22496.98046875,5569.06005859375,24841.69921875,22119.41015625,56259.28125,36045.37890625,24334.19921875
